Kategorie,Podkategorie,Název,Menu_Typ,Cena,Váha,Skladování,Trvanlivost,Alergeny
Lahůdky,Aspiky a speciality,Aspik,Standard,38,300g,do +8°C,24 hod,
Lahůdky,Pečivo plněné,Bageta celozrnná se slaninou,Standard,47,300g,do +8°C,24 hod,
Lahůdky,Pečivo plněné,Bageta cereál se slaninou,Standard,38,200g,do +8°C,24 hod,
Lahůdky,Pečivo plněné,Bageta cereál obložená,Standard,38,200g,do +8°C,24 hod,
Lahůdky,Pečivo plněné,Bageta cereál s turistickým salámem,Standard,38,200g,do +8°C,24 hod,
Lahůdky,Pečivo plněné,Bageta cereál kuřecí nebo vepřový řízek,Standard,47,250g,do +8°C,24 hod,
Lahůdky,Pečivo plněné,Bageta světlá kuřecí nebo vepřový řízek,Standard,47,250g,do +8°C,24 hod,
Lahůdky,Pečivo plněné,Bageta světlá obložená,Standard,38,200g,do +8°C,24 hod,
Lahůdky,Pečivo plněné,Bagetka se slaninou domácí,Standard,15,100g,do +8°C,24 hod,
Teplá kuchyně,Přílohy,Bramborový knedlík,Standard,39,500g,do +8°C,48 hod,
Lahůdky,Saláty,Bramborový salát,Standard,15,150g,do +8°C,24 hod,
Lahůdky,Pečivo plněné,Croissant plněný šunkou a sýrem,Standard,38,160g,do +8°C,24 hod,
Teplá kuchyně,Přílohy,Domácí těstoviny,Standard,10,100g,sucho,1 měsíc,
Teplá kuchyně,Přílohy,Houskový knedlík,Standard,32,600g,do +8°C,72 hod,
Teplá kuchyně,Hlavní jídla,Hamburger kuřecí,Standard,30,190g,do +8°C,24 hod,
Lahůdky,Uzeniny celé,Chebská uzená krkovička 1kg,Standard,229,1000g,do +5°C,21 dní,
Lahůdky,Uzeniny krájené,Chebská uzená krkovička krájená 1kg,Standard,249,1000g,do +5°C,21 dní,
Lahůdky,Uzeniny celé,Chebská uzená slanina 1kg,Standard,199,1000g,do +5°C,21 dní,
Lahůdky,Uzeniny krájené,Chebská uzená slanina krájená 1kg,Standard,219,1000g,do +5°C,21 dní,
Pečivo,Chléb,Chléb,Standard,3,70g,sucho,24 hod,
Pečivo,Chléb,Chléb bramborový,Standard,49,800g,sucho,24 hod,
Lahůdky,Chlebíčky,Chlebíček s debrecínkou,Standard,25,80g,do +8°C,24 hod,
Lahůdky,Chlebíčky,Chlebíček s turistou,Standard,25,80g,do +8°C,24 hod,
Lahůdky,Chlebíčky,Chlebíček sýrový,Standard,25,85g,do +8°C,24 hod,
Lahůdky,Chlebíčky,Chlebíček šunkový,Standard,25,80g,do +8°C,24 hod,
Lahůdky,Chlebíčky,Chlebíček šunkový bramb. salát,Standard,29,110g,do +8°C,24 hod,
Lahůdky,Chlebíčky,Chlebíček s turistou bramb. salát,Standard,29,110g,do +8°C,24 hod,
Lahůdky,Chlebíčky,Chlebíček se slaninou bramb. salát,Standard,29,115g,do +8°C,24 hod,
Lahůdky,Chlebíčky,Chlebíček s debrecínkou bramb. salát,Standard,29,115g,do +8°C,24 hod,
Lahůdky,Chlebíčky,Chlebíček se sýrem bramb. salát,Standard,29,115g,do +8°C,24 hod,
Lahůdky,Chlebíčky,Chlebíček s obloženým vejcem,Standard,30,120g,do +8°C,24 hod,
Lahůdky,Uzeniny,Jaternice 1kg / Jelita 1kg,Standard,130,1000g,do +5°C,72 hod,
Lahůdky,Chlebíčky,Kanapka (šunková sýrová turista),Standard,16,40g,do +8°C,24 hod,
Lahůdky,Uzeniny,Klobása učňovská vepřová,Standard,189,1000g,do +5°C,96 hod,
Lahůdky,Uzeniny,Klobása učňovská mix,Standard,209,1000g,do +5°C,96 hod,
Teplá kuchyně,Hlavní jídla,Kuřecí stehna,Standard,36,150g,do +8°C,24 hod,
Lahůdky,Pečivo plněné,Obložená houska s rajčaty,Standard,26,180g,do +8°C,24 hod,
Lahůdky,Pečivo plněné,Obložená houska sýrová,Standard,26,130g,do +8°C,24 hod,
Lahůdky,Pečivo plněné,Obložená houska salámová,Standard,26,150g,do +8°C,24 hod,
Lahůdky,Aspiky a speciality,Obložené vejce,Standard,35,160g,do +8°C,24 hod,
Lahůdky,Pečivo plněné,Obložený chléb,Standard,19,120g,do +8°C,24 hod,
Lahůdky,Mísy,Obložená mísa mix (uzeniny sýr zelenina),Standard,360,1000g,do +8°C,24 hod,
Lahůdky,Mísy,Obložená mísa (uzeniny),Standard,360,1000g,do +8°C,24 hod,
Lahůdky,Mísy,Obložená mísa (sýry),Standard,420,1000g,do +8°C,24 hod,
Lahůdky,Mísy,Obložená mísa (zelenina),Standard,240,1000g,do +8°C,24 hod,
Lahůdky,Pečivo plněné,Obložený rohlík,Standard,18,90g,do +8°C,24 hod,
Teplá kuchyně,Hlavní jídla,Palačinka se šunkou a sýrem,Standard,33,190g,do +8°C,24 hod,
Teplá kuchyně,Hlavní jídla,Párek v rohlíku,Standard,25,110g,do +8°C,24 hod,
Teplá kuchyně,Hlavní jídla,Pizza salámová,Standard,33,300g,do +8°C,24 hod,
Lahůdky,Pečivo plněné,Pletýnka obložená,Standard,39,240g,do +8°C,24 hod,
Lahůdky,Saláty,Pochoutkový salát,Standard,19,120g,do +8°C,24 hod,
Pečivo,Rohlíky,Rohlík,Standard,3,45g,sucho,24 hod,
Lahůdky,Saláty,Rumcajs salát,Standard,19,100g,do +8°C,24 hod,
Pečivo,Ostatní,Rustikální kosta mix,Standard,37,100g,do +8°C,24 hod,
Lahůdky,Sádlo/Škvarky,Sádlo škvařené,Standard,35,300g,do +8°C,2 měs,
Teplá kuchyně,Hlavní jídla,Sekaná v bulce,Standard,38,180g,do +8°C,24 hod,
Lahůdky,Pečivo plněné,Selský obložený rohlík,Standard,25,110g,do +8°C,24 hod,
Lahůdky,Pečivo plněné,Smaženka,Standard,23,120g,do +8°C,24 hod,
Teplá kuchyně,Hlavní jídla,Smažený karbanátek na chlebu,Standard,27,150g,do +8°C,24 hod,
